"COLUMN1","COLUMN102","COLUMN3","COLUMN104","COLUMN105","COLUMN106","COLUMN107","COLUMN108","COLUMN109","COLUMN110"
1,0,"20240703",0,0,0,0,0,0,0
2,0,"20240704",0,0,0,0,0,0,0
3,0,"20240702",0,0,0,0,0,0,0
4,0,"20240717",0,0,0,0,0,0,0
5,0,"20240713",0,0,0,0,0,0,0
6,0,"20240703",0,0,0,0,0,0,0
7,0,"20240701",0,0,0,0,0,0,0
8,0,"20240730",0,0,0,0,0,0,0
9,0,"20240716",0,0,0,0,0,0,0
10,0,"20240709",0,0,0,0,0,0,0
11,0,"20240822",0,0,0,0,0,0,0
12,0,"20240813",0,0,0,0,0,0,0
13,0,"20240825",0,0,0,0,0,0,0
14,0,"20240824",0,0,0,0,0,0,0
15,0,"20240822",0,0,0,0,0,0,0
16,0,"20240805",0,0,0,0,0,0,0
17,0,"20240806",0,0,0,0,0,0,0
18,0,"20240812",0,0,0,0,0,0,0
19,0,"20240829",0,0,0,0,0,0,0
20,0,"20240804",0,0,0,0,0,0,0
21,0,"20260424",0,0,0,0,0,0,0
22,0,"20260420",0,0,0,0,0,0,0
23,0,"20260430",0,0,0,0,0,0,0
24,0,"20260420",0,0,0,0,0,0,0
25,0,"20260413",0,0,0,0,0,0,0
26,0,"20260411",0,0,0,0,0,0,0
27,0,"20260424",0,0,0,0,0,0,0
28,0,"20260408",0,0,0,0,0,0,0
29,0,"20260404",0,0,0,0,0,0,0
30,0,"20260408",0,0,0,0,0,0,0
31,0,"20260518",0,0,0,0,0,0,0
32,0,"20260524",0,0,0,0,0,0,0
33,0,"20260508",0,0,0,0,0,0,0
34,0,"20260524",0,0,0,0,0,0,0
35,0,"20260511",0,0,0,0,0,0,0
36,0,"20260508",0,0,0,0,0,0,0
37,0,"20260529",0,0,0,0,0,0,0
38,0,"20260527",0,0,0,0,0,0,0
39,0,"20260520",0,0,0,0,0,0,0
40,0,"20260530",0,0,0,0,0,0,0
